feature,importance
template_ratio_doy,658
ratio_lag_1,536
revenue_lag_91,347
year,346
ratio_lag_91,339
revenue_lag_182,327
ratio_lag_14,306
revenue_lag_364,299
revenue_lag_1,284
ratio_lag_56,269
revenue_lag_14,269
ratio_roll_mean_7,265
ratio_lag_364,263
revenue_lag_56,260
revenue_roll_mean_7,259
ratio_lag_182,240
ratio_lag_7,224
recent_growth_7_28,224
revenue_lag_7,218
revenue_roll_std_7,214
revenue_lag_28,211
ratio_lag_28,209
revenue_roll_std_28,200
ratio_profile_gap_28,184
ratio_roll_mean_56,176
revenue_profile_gap_28,165
revenue_roll_std_56,161
yearly_sin_2,156
yearly_cos_3,152
yearly_sin_3,134
ratio_roll_mean_28,129
expected_days_of_supply,123
revenue_roll_mean_56,118
expected_avg_session_duration_sec,116
revenue_roll_mean_28,114
template_revenue_doy,111
promo_days_to_end,110
expected_bounce_rate,108
expected_review_rating_mean,105
expected_stockout_rate,95
promo_days_since_start,92
template_ratio_month_dow,80
dow,78
yearly_sin_1,73
yearly_cos_2,64
yearly_cos_1,61
expected_refund_amount,60
expected_fill_rate,60
template_ratio_dte,58
expected_return_quantity,57
template_ratio_dom,57
day,51
expected_page_views,50
expected_order_count,49
template_revenue_month_dow,48
expected_shipping_fee,46
expected_review_count,46
promo_weighted_discount,37
days_to_tet,35
promo_fixed_count,34
promo_boundary_pressure,32
expected_sessions,32
template_revenue_dom,31
promo_cat_all,29
promo_max_discount,27
promo_active,26
template_revenue_dte,26
week,24
days_to_month_end,20
channel_all_channels,14
promo_stackable_score,13
expected_unique_visitors,12
promo_percentage_count,12
promo_mean_discount,10
channel_online,8
is_weekend,5
days_from_tet,4
channel_social_media,4
specialist_flag,3
quarter,3
days_from_month_start,2
is_pay_cycle_window,1
month,1
channel_email,1
promo_cat_streetwear,0
is_post_tet_7,0
is_tet_window_14,0
promo_cat_outdoor,0
holiday_double_1212,0
holiday_christmas_eve,0
holiday_christmas,0
is_month_start,0
is_first_3_days,0
days_in_month,0
week_of_month,0
is_last_3_days,0
holiday_new_year,0
holiday_womens_day,0
is_month_end,0
holiday_reunification,0
holiday_labor_day,0
holiday_vn_womens_day,0
holiday_national_day,0
holiday_double_1111,0
promo_tet_pressure,0
channel_in_store,0
expected_reorder_rate,0
