feature,importance
template_revenue_doy,1407
revenue_lag_1,1248
revenue_lag_364,1034
revenue_lag_56,970
ratio_lag_364,957
revenue_lag_7,942
revenue_lag_182,904
revenue_lag_91,896
ratio_lag_1,871
ratio_lag_91,829
ratio_lag_182,827
revenue_lag_14,816
ratio_lag_56,809
recent_growth_7_28,777
revenue_lag_28,753
revenue_roll_std_7,691
ratio_lag_7,684
revenue_profile_gap_28,663
revenue_roll_mean_7,605
yearly_cos_3,576
revenue_roll_std_56,544
ratio_lag_28,542
ratio_roll_mean_7,540
template_ratio_doy,526
ratio_roll_mean_56,526
ratio_lag_14,524
revenue_roll_std_28,510
ratio_profile_gap_28,510
year,414
revenue_roll_mean_56,414
yearly_sin_2,373
expected_days_of_supply,370
expected_order_count,369
yearly_sin_3,361
expected_bounce_rate,360
expected_review_rating_mean,352
revenue_roll_mean_28,333
ratio_roll_mean_28,329
expected_fill_rate,320
dow,320
template_ratio_dte,318
expected_avg_session_duration_sec,306
expected_stockout_rate,294
template_revenue_month_dow,255
days_to_month_end,254
yearly_sin_1,250
template_ratio_dom,248
template_revenue_dom,236
promo_days_to_end,233
expected_return_quantity,232
template_revenue_dte,218
yearly_cos_2,218
template_ratio_month_dow,211
day,199
expected_refund_amount,198
yearly_cos_1,158
expected_shipping_fee,144
promo_days_since_start,137
days_to_tet,136
expected_sessions,133
expected_page_views,124
expected_review_count,104
promo_weighted_discount,81
week,77
promo_boundary_pressure,65
expected_unique_visitors,61
promo_stackable_score,51
promo_active,48
channel_online,27
days_from_tet,27
promo_percentage_count,22
days_from_month_start,21
promo_mean_discount,19
promo_max_discount,17
channel_all_channels,13
is_pay_cycle_window,12
days_in_month,10
specialist_flag,10
promo_fixed_count,10
is_weekend,8
month,5
quarter,3
is_tet_window_14,3
is_last_3_days,2
promo_cat_all,2
channel_email,2
week_of_month,1
channel_social_media,1
holiday_double_1212,0
holiday_christmas_eve,0
holiday_christmas,0
promo_cat_outdoor,0
promo_cat_streetwear,0
is_post_tet_7,0
is_month_end,0
is_first_3_days,0
holiday_new_year,0
holiday_womens_day,0
is_month_start,0
holiday_reunification,0
holiday_labor_day,0
holiday_vn_womens_day,0
holiday_national_day,0
holiday_double_1111,0
promo_tet_pressure,0
channel_in_store,0
expected_reorder_rate,0
